coingecko-id:,cardano,aurora-near,avalanche-2,benqi-liquid-staked-avax,binancecoin,bitcoin,dogecoin,ethereum,wrapped-steth,hedera-hashgraph,hbarx,indigo-dao-governance-token,chainlink,litecoin,near,pax-gold,snek,solana,undead-blocks,tether,usd-coin,pax-gold
2025-12-09,0.452425,0.054049,13.63,16.82,884.48,90399,0.142053,3115.58,3804.35,0.135312,0.181424,0.440915,13.71,84.15,1.76,4199.98,0.00145772,132.37,0.00140345,1,0.999889,4205.2
2025-12-10,0.46282,0.055302,14.23,17.58,889.89,91905,0.145327,3320.31,4056.98,0.136598,0.186224,0.3393,14.07,84.26,1.75,4205.81,0.00132089,137.04,0.0014233,1,0.999927,4198.1
2025-12-11,0.415844,0.055067,13.23,16.35,866.47,90232,0.137767,3187.89,3895.34,0.130162,0.176899,0.32477,13.6,81.28,1.67,4242.64,0.00113951,131.04,0.00141558,1,0.999869,4210.6
2025-12-12,0.424845,0.055613,13.52,16.73,886.75,92186,0.140926,3236.97,3955.19,0.129072,0.175565,0.321767,14.1,84.1,1.7,4341.89,0.00120406,138.8,0.00139955,1,0.999875,4321.4
2025-12-13,0.412388,0.054149,13.35,16.44,902.43,90100,0.139406,3107.06,3794.63,0.122967,0.167832,0.317093,13.76,81.88,1.66,4318.71,0.00111758,133.15,0.00160688,1,0.999972,4308.8
2025-12-14,0.402368,0.052756,13.06,16.1,892.97,89458,0.136805,3100.12,3788.58,0.121145,0.164644,0.308443,13.6,80.27,1.63,4320.8,0.00105362,131.58,0.00171273,1,0.999802,4316.8
2025-12-15,0.401864,0.050934,13.13,16.22,887.36,89466,0.136575,3134.02,3830.12,0.119008,0.162516,0.32024,13.57,80.72,1.61,4353.75,0.00102655,132.83,0.00167841,1,0.999965,4340.3
2025-12-16,0.38472,0.050661,12.13,14.96,869.02,87055,0.13102,2919.91,3566.39,0.114447,0.157548,0.304968,12.82,78.19,1.53,4332.39,0.00084971,127.73,0.00168044,0.999858,0.999403,4296.8
2025-12-17,0.385102,0.051866,12.29,15.21,863.04,87798,0.131244,2946.35,3599.62,0.113894,0.155318,0.293469,12.77,79.31,1.55,4341.02,0.00107893,129.56,0.00166094,0.999848,1,4325.8
2025-12-18,0.372547,0.04854519,12.15,14.99,848,88368,0.129456,2959.17,3618.25,0.111903,0.153257,0.283319,12.64,77.75,1.56,4364.69,0.00105547,126.98,0.00169366,0.999623,0.99992,4323.1
2025-12-19,0.366764,0.04781569,11.98,14.81,845.56,87922,0.128536,2955.11,3613.44,0.109782,0.149855,0.284264,12.45,76.25,1.49,4334.62,0.00100018,125.79,0.00165398,0.999551,0.999944,4326
2025-12-20,0.378452,0.04816269,12.26,15.17,852.57,88207,0.132122,2978.36,3639.78,0.113152,0.153452,0.281937,12.65,76.94,1.52,4350.91,0.00103866,126.25,0.00167957,0.999566,0.999777,4334
2025-12-21,0.363359,0.0490518,12.11,14.98,852.23,88227,0.130409,2966.8,3628.55,0.11094,0.152763,0.264291,12.38,76.49,1.49,4360.54,0.00104824,124.49,0.0016532,0.999749,0.999818,4354.2
2025-12-22,0.373749,0.04796207,12.35,15.29,864.42,89935,0.132971,3057.44,3743.53,0.113921,0.156129,0.270254,12.71,77.97,1.57,4434.9,0.00104448,126.69,0.00165652,0.999624,0.999884,4404.3
2025-12-23,0.364408,0.04782669,12.17,15.08,849.41,87654,0.130227,2957.35,3609.65,0.111979,0.15299,0.269064,12.29,76.8,1.5,4504.39,0.00095675,124.07,0.00165859,0.99952,0.999702,4486.1
2025-12-24,0.356935,0.04669996,12.06,14.91,839.01,87100,0.127963,2926.87,3575.89,0.109532,0.15022,0.273583,12.18,76.4,1.45,4497.8,0.00092502,121.92,0.00161889,0.999589,0.999841,4499.9
2025-12-25,0.350421,0.04552927,12.2,15.11,835.51,87436,0.12612,2922.47,3572.77,0.111078,0.151225,0.271658,12.2,76.06,1.48,4499.78,0.00095489,121.83,0.00166303,0.999547,0.999963,4492.9
2025-12-26,0.356248,0.04619477,12.44,15.41,841.8,88700,0.125844,2974.98,3636.56,0.113993,0.157239,0.283605,12.44,77.25,1.53,4531.57,0.0009684,123.97,0.00165291,0.999441,0.999899,4507.2
2025-12-27,0.355846,0.04542303,12.51,15.49,839.89,87485,0.122834,2926.09,3579.17,0.112214,0.152194,0.270276,12.29,78.35,1.53,4563.86,0.00093221,123.21,0.00168804,0.999539,0.999903,4535.5
2025-12-28,0.369538,0.04555744,12.67,15.7,856.21,87917,0.124241,2941.55,3597.41,0.115567,0.15916,0.29103,12.45,79.04,1.58,4549.79,0.00094632,124.64,0.00169684,0.999454,1,4533
2025-12-29,0.365125,0.04582618,12.57,15.58,850.82,87308,0.123528,2933.53,3586.47,0.113751,0.154036,0.287027,12.33,77.53,1.52,4473.87,0.00099127,123.75,0.00167272,0.998909,0.999827,4467.7
2025-12-30,0.352872,0.050542,12.52,15.52,857.68,87987,0.123905,2985.35,3651.42,0.111991,0.153604,0.269957,12.47,78,1.54,4406.96,0.00094141,124.12,0.00167354,0.998854,0.999799,4399.7
2025-12-31,0.349319,0.04959235,12.54,15.54,866.83,88666,0.122978,2987.09,3654.24,0.109301,0.150451,0.268063,12.44,78.06,1.51,4336.67,0.00091565,126.05,0.00166815,0.998865,0.999834,4323.4
2026-01-01,0.341148,0.04648497,12.36,15.31,858.54,87856,0.120745,2980.55,3645.31,0.10815,0.148192,0.2596,12.25,77.81,1.54,4337.39,0.00089816,124.84,0.00167027,0.998734,0.999802,4334
2026-01-02,0.390302,0.04881602,13.58,16.84,889.91,90780,0.138863,3139.69,3847.4,0.12055,0.164572,0.28601,13.31,81.41,1.66,4342.91,0.00110541,131.83,0.00168872,0.999451,0.999739,4380.3
2026-01-03,0.386758,0.04907502,14.05,17.43,876.81,89927,0.142817,3101.24,3794.56,0.119471,0.163172,0.285673,13.12,81.85,1.7,4359.94,0.00110135,131.21,0.00169331,0.999432,0.999869,4335.5
2026-01-04,0.399419,0.0495473,14.12,17.52,888.44,91185,0.152027,3136.51,3837.02,0.124897,0.171176,0.288405,13.45,82.43,1.72,4347.38,0.0011457,134.22,0.00178522,0.999525,0.999928,4331.6
2026-01-05,0.414755,0.050491,14.09,17.47,905.69,93894,0.149706,3183.63,3893.85,0.126474,0.172616,0.299247,13.69,83.06,1.76,4454.4,0.00116622,135.55,0.00179882,0.999772,0.999859,4402.8
2026-01-06,0.421727,0.051869,14.62,18.15,913.32,93736,0.151466,3231.87,3957.19,0.13284,0.181538,0.315731,13.86,84.25,1.83,4471.64,0.00123085,139.09,0.00178537,0.999651,0.999893,4454.8
2026-01-07,0.401056,0.051744,14.03,17.42,897.48,90961,0.146389,3149.3,3853.23,0.123079,0.168361,0.302773,13.35,81.47,1.72,4470.72,0.00107647,135.9,0.00177995,0.999089,0.999962,4436.3
2026-01-08,0.389172,0.051583,13.78,17.12,884.29,89957,0.139816,3094.84,3787.1,0.119286,0.164064,0.295978,13.14,80.64,1.67,4435.76,0.00104335,133.99,0.00176835,0.998852,0.999895,4412
2026-01-09,0.391031,0.052031,13.78,17.12,896.03,90543,0.140537,3084.51,3777.09,0.120201,0.166376,0.310928,13.13,81.41,1.7,4503.75,0.00099135,135.94,0.0017946,0.998776,0.999885,4456.4
2026-01-10,0.391159,0.052824,13.91,17.3,908.72,90626,0.139887,3093.91,3788.26,0.119091,0.164683,0.309834,13.19,81.32,1.71,4506.36,0.00104643,136.47,0.00179239,0.998814,1,4501.2
2026-01-11,0.394088,0.051482,13.82,17.17,912.29,90766,0.140406,3107.89,3804.82,0.118183,0.162758,0.293383,13.21,80.85,1.7,4513.26,0.00104476,136.91,0.00179105,0.998847,1,4506.9
2026-01-12,0.387369,0.05023,13.6,16.88,898.77,90711,0.136567,3097.65,3792.23,0.115588,0.157588,0.285668,13.08,76.66,1.67,4602.31,0.00103806,140.04,0.00177343,0.998887,0.999799,4580.7
2026-01-13,0.392704,0.0497379,13.8,17.17,907.69,91914,0.139298,3128.18,3831.3,0.116334,0.159253,0.286626,13.26,76.64,1.78,4600.17,0.00100294,141.91,0.00178143,0.998927,0.999738,4586.2
2026-01-14,0.41527,0.050264,14.52,18.08,933.9,95037,0.146598,3294.7,4036.75,0.123329,0.169549,0.307775,13.93,78.73,1.82,4641.23,0.00107942,144.52,0.00180904,0.99957,0.999853,4626
2026-01-15,0.407871,0.050961,14.37,17.9,941.5,96868,0.144401,3365.5,4119.93,0.121832,0.165898,0.293829,14.11,75.87,1.81,4615.27,0.00100521,144.8,0.00204025,0.999689,0.99971,4606.2
2026-01-16,0.389486,0.04923492,13.74,17.1,932.32,95310,0.137647,3298.48,4039.69,0.116258,0.160651,0.285503,13.69,72.24,1.71,4605.54,0.00093831,142.94,0.00203141,0.999549,0.999752,4598.8
2026-01-17,0.400539,0.04917054,13.82,17.21,951.9,95255,0.138693,3315.14,4062.73,0.120228,0.16492,0.284238,13.79,75.1,1.79,4605.04,0.00094603,144.2,0.00202665,0.99964,1.01,4596.7
2026-01-18,0.392844,0.04877029,13.56,16.89,946.58,95108,0.137077,3324.15,4071.44,0.116916,0.161616,0.278155,13.75,74.82,1.71,4620.45,0.00092444,142.34,0.00204955,0.999582,0.999701,4603.4
2026-01-19,0.36862,0.04633014,12.75,15.89,923.49,92806,0.128438,3211.56,3934.39,0.10987,0.151543,0.2653,12.81,70.54,1.56,4678.02,0.00088738,133.45,0.002009,0.999476,0.999785,4666.6
2026-01-20,0.35102,0.04541892,12.13,15.08,891.78,89285,0.123621,2985.53,3659.17,0.105102,0.144565,0.254075,12.23,67.52,1.52,4778.03,0.00079858,126.86,0.00202225,0.998948,0.999698,4723.6
2026-01-21,0.359985,0.04552736,12.25,15.27,879.51,89375,0.125127,2966.5,3642.18,0.109359,0.151438,0.258517,12.34,68.62,1.54,4879.8,0.00078174,128.58,0.00199693,0.999046,0.999677,4865.7
2026-01-22,0.360581,0.04562895,12.24,15.28,884.32,89405,0.124907,2961.38,3632.12,0.108201,0.14997,0.258114,12.34,68.35,1.52,4850.61,0.00081509,128.84,0.00204222,0.999126,0.999698,4824.7
2026-01-23,0.35941,0.04545561,12.11,15.09,888.91,89332,0.12445,2947.77,3612.07,0.10931,0.150865,0.253743,12.23,67.98,1.5,5016.37,0.0007222,127.32,0.00205775,0.998738,0.9997,4942.1
2026-01-24,0.359568,0.0467614,12.1,15.08,890.61,89391,0.124371,2957.64,3624.43,0.107684,0.148458,0.253571,12.19,68.55,1.51,5026.29,0.00075179,127.09,0.00202779,0.998486,0.999523,5000.2
2026-01-25,0.351266,0.04428553,11.86,14.77,877.12,88573,0.121976,2925.74,3584.35,0.106029,0.145054,0.244583,11.96,69,1.48,5059.62,0.00070442,125.83,0.00205658,0.998613,0.999573,5025.1
2026-01-26,0.351963,0.04300854,11.7,14.57,874.01,87963,0.122255,2924.72,3581.17,0.106549,0.14579,0.239224,11.93,69.1,1.46,5050.52,0.00069822,124.26,0.00202148,0.999034,0.999702,5083.4
2026-01-27,0.350936,0.04294016,11.69,14.58,883.02,88094,0.122233,2923.35,3584.33,0.1059,0.143898,0.233353,11.95,69.51,1.46,5073.74,0.00069889,123.96,0.00205203,0.998739,0.999625,5080.5
2026-01-28,0.356737,0.04333109,12.03,15,898.08,89116,0.124701,2992.58,3671.67,0.107469,0.146801,0.237723,11.77,68.8,1.47,5280.41,0.00070166,126.34,0.00208436,0.998709,0.999722,5274.6
2026-01-29,0.341594,0.04382062,11.37,14.11,881.86,87318,0.119317,2891.3,3547.05,0.10256,0.140964,0.225175,11.37,66.9,1.41,5541.16,0.00067672,121.06,0.00204149,0.998543,0.999703,5545.5
2026-01-30,0.322779,0.04053111,10.86,13.49,845.93,82452,0.114629,2701.47,3310.91,0.098732,0.136484,0.211513,10.68,64.4,1.31,5069.64,0.00062513,115.28,0.00202253,0.998589,0.999703,5084.7
2026-01-31,0.308227,0.03899224,10.52,13.11,831.27,82697,0.110753,2626.69,3220.94,0.094272,0.130688,0.203487,10.39,62.55,1.27,4927.58,0.00053569,114.62,0.00202425,0.998422,0.999615,4898.6
2026-02-01,0.288348,0.03568456,9.94,12.4,760.75,77664,0.104808,2339.28,2867.38,0.089685,0.124237,0.195029,9.57,59.03,1.18,4833.93,0.00046773,102.77,0.00202683,0.998964,0.999703,4816.7
2026-02-02,0.296132,0.03384928,10.08,12.58,763.3,77795,0.106206,2308.03,2844.47,0.09345,0.128562,0.197936,9.67,59.62,1.2,4741.69,0.00055285,102.94,0.00203003,0.99905,0.999672,4769.8
2026-02-03,0.290275,0.03193304,9.81,12.32,750.19,74704,0.104853,2184.41,2674.11,0.090357,0.123805,0.201353,9.34,58.49,1.16,4929.31,0.00054563,98.59,0.00199486,0.999052,0.999607,4912.2
2026-02-04,0.295716,0.03042242,9.99,12.47,750.62,76014,0.107184,2238.43,2743.41,0.092793,0.127132,0.214107,9.53,59.9,1.18,5055.46,0.00054661,96.21,0.00198151,0.998526,0.99964,5034.7
2026-02-05,0.2479,0.02751095,8.4,11.21,623.02,63367,0.08897,1857.63,2432.29,0.077,0.113886,0.192814,8,50.95,1.077,4854.68,0.00044827,78.58,0.00179767,0.9982,0.999753,4804.7
2026-02-06,0.263682,0.02708197,8.78,10.95,643.01,66998,0.094555,1941.32,2379.03,0.08794,0.119985,0.192618,8.39,53.23,1.029,4914.69,0.0005866,82.8,0.00161467,0.998872,0.999795,4836.2
2026-02-07,0.270705,0.03211872,9.11,11.37,637.84,68910,0.09606,2037.13,2496.4,0.087774,0.120974,0.196143,8.77,54.04,1.065,4954.04,0.00061431,85.99,0.0017324,0.999051,0.999852,4916.8
2026-02-08,0.274094,0.03068051,9.25,11.56,645.07,71148,0.098132,2119.58,2598.94,0.094452,0.129636,0.206656,8.94,55.35,1.065,4998.58,0.00061493,88.32,0.00170292,0.99934,0.999759,4970
2026-02-09,0.262507,0.02857801,8.76,10.94,623.81,68669,0.093707,2018.77,2470.99,0.089085,0.12352,0.204309,8.54,53.4,0.99174,5021.43,0.0005605,83.74,0.00165239,0.999271,0.999799,4987.6
2026-02-10,0.263202,0.02884651,8.78,10.95,617.09,68612,0.092688,2011.28,2461.45,0.090464,0.123958,0.203776,8.55,53.32,0.990689,5042.57,0.00058088,83.79,0.00166406,0.999411,0.999921,5005.7
2026-02-11,0.254274,0.0271028,8.58,10.73,590.79,67093,0.089919,1950.57,2388.47,0.088739,0.121365,0.201659,8.28,52.21,0.956958,5090.05,0.00053839,81.15,0.00164922,0.999526,0.999805,5052.3
2026-02-12,0.260251,0.02736228,8.72,10.87,606.5,65934,0.091772,1917.95,2348.79,0.091049,0.133601,0.207816,8.26,51.99,0.948798,4974.41,0.00055303,78.13,0.00164935,0.999327,0.999904,5027.2
2026-02-13,0.264356,0.02728706,8.89,11.13,598.66,67220,0.093533,1968.5,2414.44,0.093377,0.133601,0.205842,8.47,53.45,0.979828,4992.86,0.00055168,80.22,0.00165453,0.999404,0.999903,4947.3
2026-02-14,0.283465,0.02741304,9.33,11.67,632.94,69638,0.101471,2075,2544.89,0.103092,0.133601,0.218247,8.98,55.61,1.053,5029.38,0.00059653,86.99,0.00165396,0.999848,1,4997.6
2026-02-15,0.283069,0.02790676,9.32,11.64,618.3,68943,0.107612,1998.68,2449.75,0.100571,0.133601,0.227984,8.82,54.73,1.053,5030.2,0.0005889,86.94,0.00163322,0.999647,1,4996.7
2026-02-16,0.282722,0.0296483,9.15,11.42,616.92,67931,0.100422,1974.65,2420.87,0.100547,0.137337,0.225885,8.8,54.26,1.055,4996.46,0.00059161,84.73,0.00166675,0.999675,0.9999,4977.6
2026-02-17,0.27839,0.02910309,9.05,11.31,612.67,67005,0.099195,1949.8,2394.13,0.09975,0.138423,0.225045,8.71,54.01,1.039,4873.54,0.00058332,83.33,0.00169584,0.999619,0.999937,4913.1
2026-02-18,0.276287,0.02771813,8.94,11.16,610.71,66430,0.099093,1957.2,2396.76,0.099567,0.138781,0.203225,8.64,53.51,1.028,4987.98,0.00058915,81.36,0.00167011,0.99965,0.999978,4918
2026-02-19,0.27027,0.02703683,8.7,10.88,600.22,65964,0.09702,1928.97,2362.08,0.096664,0.132716,0.220587,8.42,52,0.996535,4991.05,0.00055201,80.08,0.00164644,0.999688,0.9999,4967.9
2026-02-20,0.287077,0.02693989,9.12,11.4,617.51,67455,0.100414,1956.62,2399.21,0.099993,0.137935,0.225172,8.86,55.1,1.034,5074.8,0.00060265,83.96,0.00169203,0.999811,0.999968,5006
2026-02-21,0.282809,0.0272648,9.36,11.71,632.59,68429,0.100448,1987.48,2437.97,0.100764,0.139693,0.21418,8.96,55.51,1.069,5137.67,0.00059646,86.32,0.00166747,0.999745,1,5095.9
2026-02-22,0.269746,0.02723273,8.8,11.01,611.22,67367,0.094839,1941.08,2379.66,0.097459,0.133713,0.193823,8.63,53.2,1.011,5155.52,0.00057196,83.15,0.00166397,0.999538,0.9999,5098
2026-02-23,0.263524,0.02694067,8.41,10.52,596.81,64710,0.093154,1860.48,2281.5,0.095044,0.13229,0.196244,8.3,51.71,0.98262,5249.96,0.00052916,78.43,0.0016671,0.999784,0.999901,5143.2
2026-02-24,0.259402,0.02729464,8.31,10.39,585.66,64119,0.091987,1859.8,2281.18,0.095228,0.132912,0.190445,8.22,51.25,0.968845,5155.09,0.00053833,78.98,0.00164692,1,0.99996,5130.2
2026-02-25,0.278466,0.02736179,9.42,11.76,614.12,66260,0.097001,1964.26,2409.23,0.099933,0.137932,0.202771,8.89,55.02,1.074,5203.47,0.00056222,83.87,0.00168073,0.999937,0.999901,5165.6
2026-02-26,0.296383,0.02819275,9.48,11.88,627.15,68024,0.100556,2047.29,2511.8,0.101105,0.141154,0.214244,9.2,56.26,1.17,5199.18,0.00062174,87.83,0.00167645,1,0.999904,5161.9
2026-02-27,0.293093,0.02801386,9.34,11.69,626.58,67891,0.098962,2064.34,2535.66,0.102891,0.144031,0.212651,9.23,56.2,1.13,5177.96,0.00061555,87.76,0.00166032,1,0.999901,5173.4
2026-02-28,0.27914,0.02755135,9.12,11.42,616.96,66351,0.09378,1953.96,2397.24,0.099424,0.13828,0.198663,8.8,53.99,1.14,5391.36,0.00057278,84.76,0.00197479,1,0.999987,5240

